file location,file name,date,conditions,material,time
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\05-22-2024,CPC_A3_500hr.dpt,05-22-2024,A3,CPC,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\05-22-2024,O-PVF_A3_500hr.dpt,05-22-2024,A3,o-PVF,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\05-22-2024,PPE_A3_500hr.dpt,05-22-2024,A3,PPE,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\05-22-2024,T-PVDF_A3_500hr.dpt,05-22-2024,A3,t-PVDF,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\05-22-2024,T-PVF_A3_500hr.dpt,05-22-2024,A3,t-PVF,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,CPC_0.5X_1000hr.dpt,12-18-2024,0.5X,CPC,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,CPC_1X_1000hr.dpt,12-18-2024,1X,CPC,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,CPC_2.5X_1000hr.dpt,12-18-2024,2.5X,CPC,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,CPC_5X_1000hr.dpt,12-18-2024,5X,CPC,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,J-BOX#1_0.5X_1000hr.dpt,12-18-2024,0.5X,J-BOX#1,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,J-BOX#1_1X_1000hr.dpt,12-18-2024,1X,J-BOX#1,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,J-BOX#1_2.5X_1000hr.dpt,12-18-2024,2.5X,J-BOX#1,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,J-BOX#1_5X_1000hr.dpt,12-18-2024,5X,J-BOX#1,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,J-BOX#2_0.5X_1000hr.dpt,12-18-2024,0.5X,J-BOX#2,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,J-BOX#2_1X_1000hr.dpt,12-18-2024,1X,J-BOX#2,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,J-BOX#2_2.5X_1000hr.dpt,12-18-2024,2.5X,J-BOX#2,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,J-BOX#2_5X_1000hr.dpt,12-18-2024,5X,J-BOX#2,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,O-PVF_0.5X_1000hr.dpt,12-18-2024,0.5X,o-PVF,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,O-PVF_1X_1000hr.dpt,12-18-2024,1X,o-PVF,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,O-PVF_2.5X_1000hr.dpt,12-18-2024,2.5X,o-PVF,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,O-PVF_5X_1000hr_1.dpt,12-18-2024,5X,o-PVF,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,PMMA_unexposed_1.dpt,12-18-2024,unexposed,PMMA,0
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,PMMA_unexposed_2.dpt,12-18-2024,unexposed,PMMA,0
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,PO_0.5X_1000hr.dpt,12-18-2024,0.5X,PO,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,PO_1X_1000hr.dpt,12-18-2024,1X,PO,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,PO_2.5X_1000hr.dpt,12-18-2024,2.5X,PO,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,PO_5X_1000hr.dpt,12-18-2024,5X,PO,1000
